,title,price,location
157,[' Casa en alquiler. Calle principal. Boulevard Constitucion'],"['$1,250.00\xa0']",[' San Salvador ']
158,"[' SE ALQUILA CASA EN RESIDENCIAL PRIVADO, ESCALON.']","['$1,200.00\xa0']",[' San Salvador ']
159,[' ALQUILER CASA CUMBRES DE CUSCATLAN'],"['$2,800.00\xa0']",[' Antiguo Cuscatlán ']
160,[' Alquiler de casa de 2 niveles en Via del mar!'],"['$1,200.00\xa0']",[' Santa Tecla ']
161,[' Ciudad Marsella'],['$350.00\xa0'],[' San Juan Opico ']
162,"[' Alquiler en Urbanización Campos Verdes 1 - Lourdes, Colón, La Libertad']",['$150.00\xa0'],[' Colón ']
163,[' FINCA DE ASTURIAS CASA SE ALQUILA'],['$900.00\xa0'],[' Santa Tecla ']
164,[' ¡Hermoso Cluster Ciudad Marsella!'],['$225.00\xa0'],[' San Juan Opico ']
165,[' Alquiler casa en calzada lourdes colon'],['$550.00\xa0'],[' Colón ']
166,[' Casa en residencial via del mar'],"['$1,500.00\xa0']",[' La Libertad ']
167,"[' Alquiler Jardines del Valle, Quezaltepeque']",['$230.00\xa0'],[' Quezaltepeque ']
168,[' ALQUILO CASA RN CIUDAD MARSELLA'],['$225.00\xa0'],[' La Libertad ']
169,[' Vivienda en Metrópoli San Gabriel'],['$500.00\xa0'],[' San Salvador ']
170,[' Casa  para vivienda'],['$165.00\xa0'],[' Ilopango ']
171,[' Casa san Bartolo ilopango'],['$145.00\xa0'],[' Ilopango ']
172,[' CASA EN LA CIMA 1'],['$600.00\xa0'],[' Antiguo Cuscatlán ']
173,[' ALQUILO CASA en privado'],['$450.00\xa0'],[' Mejicanos ']
174,[' CIUDAD MARSELLA! ALQUILO CASA A ESTRENAR'],['$250.00\xa0'],[' San Juan Opico ']
175,[' ALQUILO BONITA CASA EN COL. SAN BENITO  PARA VIVIENDA U OFICINA'],"['$1,800.00\xa0']",[' San Salvador ']
176,"[' Se alquila casa Residencial Nuevo Lourdes Poniente II, Lourdes Colon']",['$180.00\xa0'],[' La Libertad ']
177,"[' Alquiler casa Las Pérgolas, SEGUNDA ETAPA']",['$750.00\xa0'],[' Zaragoza ']
178,[' Alquiler Villa Veranda Santa Tecla'],['$960.00\xa0'],[' Santa Tecla ']
179,[' SE ALQUILA CASA EN RESIDENCIAL LA HACIENDA.'],"['$1,400.00\xa0']",[' San Salvador ']
180,"[' SE ALQUILA CASA PARA OFICINAS, COLONIA ESCALON.']","['$2,300.00\xa0']",[' San Salvador ']
181,"[' SE ALQUILA CASA EN RESIDENCIAL PRIVADO, ESCALON.']","['$1,200.00\xa0']",[' San Salvador ']
182,"[' SE ALQUILA CASA EN SAN BENITO IDEAL PARA RESTAURANTE, NEGOCIO U OFICINA ETC.']","['$4,000.00\xa0']",[' San Salvador ']
183,"[' SE ALQUILA CASA PARA OFICINAS, NEGOCIOS, ETC SOBRE LA CONSTITUCION.']","['$1,400.00\xa0']",[' San Salvador ']
184,"[' SE ALQUILA CASA TIPO TOWNHOUSE EN PRIVADO, SANTA ELENA.']","['$1,700.00\xa0']",[' San Salvador ']
185,[' ALQUILO EN BOSQUES DE SANTA ELENA'],"['$2,000.00\xa0']",[' Antiguo Cuscatlán ']
186,[' ALQUILER CASA EN SANTA ANA'],['$600.00\xa0'],[' Santa Ana ']
187,[' alquiler de casa en bosques de lourdes'],['$500.00\xa0'],[' Colón ']
188,"[' Alquilo Amplia y Bonita Casa ubicada en Residencial Las Arboledas, Cluster Las Jacarandas II']",['$475.00\xa0'],[' Colón ']
189,[' Busco casa'],['$150.00\xa0'],[' Soyapango ']
190,[' Alquilo casa con bodega'],['$450.00\xa0'],[' San Salvador ']
191,"[' SE ALQUILA CASA EN RESIDENCIAL PRIVADO, ESCALON.']","['$1,200.00\xa0']",[' San Salvador ']
192,[' Alquilo Casa En San Miguel'],['$600.00\xa0'],[' San Miguel ']
193,"[' +1 SE ALQUILA CASA EN NUEVO CUSCATLAN, JOYA DE LAS PILETAS.']","['$2,000.00\xa0']",[' San Salvador ']
194,[' Alquiler de casa METRÓPOLIS SAN GABRIEL'],['$800.00\xa0'],[' Apopa ']
195,[' Busco Alquiler de Casa'],['$300.00\xa0'],[' San Salvador ']
196,[' Alquiler de Habitaciones Todo Incluido'],['$250.00\xa0'],[' Antiguo Cuscatlán ']
197,"[' Propiedad disponible para ONG, empresa privada, familias.']","['$2,000.00\xa0']",[' Santa Tecla ']
198,[' ALQUILER DE CASA  PRADOS 4 SOYAPANGO'],['$150.00\xa0'],[' Soyapango ']
199,[' ¡ME URGE ENCONTRAR CASA PARA ALQUILAR PARA 2 PERSONAS CON MASCOTAS!'],['$100.00\xa0'],[' Ayutuxtepeque ']
200,[' Se vende o alquila casa en el kilómetro 21 desvío a nejapa  el retorno a San Salvador o salitre'],['$350.00\xa0'],[' La Libertad ']
201,[' Alquiler de casa a estrenar Las Pérgolas'],"['$1,000.00\xa0']",[' Zaragoza ']
202,[' SE ALQUILA CASA EN RESIDENCIAL LA HACIENDA.'],"['$1,400.00\xa0']",[' San Salvador ']
203,[' BUSCO CASA O APARTAMENTO'],['$300.00\xa0'],[' Santa Tecla ']
204,"[' SE ALQUILA CASA IDEAL PARA OFICINAS, PARTE MEDIA ESCALON.']","['$3,300.00\xa0']",[' San Salvador ']
205,[' Casa a Estrenar en Ciudad Marsella'],['$350.00\xa0'],[' San Juan Opico ']
206,"[' SE ALQUILA CASA PARA OFICINAS, COLONIA ESCALON.']","['$2,500.00\xa0']",[' San Salvador ']
207,"[' SE ALQUILA CASA EN RESIDENCIAL PRIVADO, ZARAGOZA.']","['$1,500.00\xa0']",[' San Salvador ']
208,[' BUSCO CASA PARA ALQUILAR'],['$500.00\xa0'],[' Santa Tecla ']
209,[' ALQUILO O VENDO LINDA CASA EN RESIDENCIAL LAS PILETAS 3'],"['$3,000.00\xa0']",[' Santa Tecla ']
210,[' Casa para oficina o familias extranjeras ESCALONIA'],"['$1,000.00\xa0']",[' San Salvador ']
211,[' CASA EN ZONA CÉNTRICA EN SAN SALVADOR 7221 1589'],['$200.00\xa0'],[' San Salvador ']
